Date,Ta_mean,Recon
1861-11,5.6,
1861-12,0.5,
1862-01,0.8,
1862-02,1.5,
1862-03,6.9,
1862-04,11.4,
1862-05,15.4,
1862-06,16.3,
1862-07,19.9,
1862-08,17.6,
1862-09,15.1,
1862-10,12,
1862-11,5.7,
1862-12,2.1,
1863-01,2.4,
1863-02,1.7,
1863-03,4.8,
1863-04,10.3,
1863-05,14.4,
1863-06,17,
1863-07,19.3,
1863-08,19.5,
1863-09,13.6,
1863-10,10.6,
1863-11,5.5,
1863-12,NA,
