Date,Ta_mean,Recon
1823-12,2.3,
1824-01,-1.9,
1824-02,1.1,
1824-03,2,
1824-04,5.8,
1824-05,12.1,
1824-06,13.7,
1824-07,18.5,
1824-08,16.3,
1824-09,14.5,
1824-10,8.9,
1824-11,6.2,
1824-12,3.2,
1825-01,-2.4,
1825-02,-1,
1825-03,2.6,
1825-04,10.7,
1825-05,12.7,
1825-06,16.3,
1825-07,16.7,
1825-08,17,
1825-09,15.4,
1825-10,9.1,
1825-11,5.2,
1825-12,3.1,
1826-01,-7.1,
1826-02,1.7,
1826-03,4.8,
1826-04,8.2,
1826-05,10.5,
1826-06,15.3,
1826-07,17.9,
1826-08,19,
1826-09,15.1,
1826-10,9.7,
1826-11,2.8,
1826-12,1,
1827-01,-1.7,
1827-02,-3.6,
1827-03,4.9,
1827-04,9.6,
1827-05,14.4,
1827-06,15.4,
1827-07,20,
1827-08,16.1,
1827-09,13.5,
1827-10,9.6,
1827-11,1.2,
1827-12,3.3,
1828-01,1.5,
1828-02,1.4,
1828-03,4.4,
1828-04,8.8,
1828-05,14,
1828-06,16.9,
1828-07,17.6,
1828-08,15.8,
1828-09,14.2,
1828-10,8.5,
1828-11,3.5,
1828-12,0.7,
1829-01,-4.2,
1829-02,-2.3,
1829-03,3.9,
1829-04,8.4,
1829-05,12.7,
1829-06,14.3,
1829-07,17.3,
1829-08,15.3,
1829-09,12.2,
1829-10,7.4,
1829-11,1.7,
1829-12,-4.3,
1830-01,-7.9,
1830-02,-3,
1830-03,6.3,
1830-04,10.5,
1830-05,13.8,
1830-06,15,
1830-07,18.2,
1830-08,16.9,
1830-09,11.6,
1830-10,7.9,
1830-11,4.3,
1830-12,-0.6,
1831-01,-3.6,
1831-02,0.5,
1831-03,6,
1831-04,10.1,
1831-05,12.6,
1831-06,15.2,
1831-07,17.5,
1831-08,16.9,
1831-09,12.1,
1831-10,11.5,
1831-11,4.4,
1831-12,0.6,
1832-01,-1.8,
1832-02,-0.1,
1832-03,3.2,
1832-04,8.7,
1832-05,11.6,
1832-06,14.8,
1832-07,18.2,
1832-08,19,
1832-09,13.4,
1832-10,8.2,
1832-11,3.4,
1832-12,0.8,
1833-01,-3.8,
1833-02,3.8,
1833-03,2.9,
1833-04,6.8,
1833-05,16.4,
1833-06,17.2,
1833-07,15.5,
1833-08,15,
1833-09,12.3,
1833-10,8.9,
1833-11,3.7,
1833-12,4.8,
1834-01,4.2,
1834-02,1.7,
1834-03,4.5,
1834-04,6.9,
1834-05,15.9,
1834-06,17.9,
1834-07,19.6,
1834-08,18.4,
1834-09,17.4,
1834-10,9.4,
1834-11,3.4,
1834-12,-1.4,
1835-01,-0.8,
1835-02,1.9,
1835-03,3.5,
