Date,Ta_mean,Std_err
1826-01,-7.7,0.13
1826-02,1.2,0.16
1826-03,4.4,0.2
1826-04,7.8,0.21
1826-05,10.1,0.23
1826-06,15,0.25
1826-07,17.8,0.23
1826-08,18.9,0.21
1826-09,14.8,0.18
1826-10,9.4,0.14
1826-11,2.1,0.12
1826-12,0.2,0.11
1827-01,-2.3,0.12
1827-02,-4.5,0.14
1827-03,4.2,0.17
1827-04,9,0.21
1827-05,13.8,0.23
1827-06,14.8,0.25
1827-07,19.7,0.23
1827-08,15.8,0.21
1827-09,12.8,0.18
1827-10,9,0.14
1827-11,0.9,0.12
1827-12,2.7,0.11
1828-01,1.2,0.12
1828-02,0.9,0.14
1828-03,4,0.17
1828-04,8.2,0.21
1828-05,13.6,0.23
1828-06,16.6,0.25
1828-07,17.3,0.23
1828-08,15.7,0.21
1828-09,13.9,0.18
1828-10,8.3,0.15
1828-11,3.4,0.12
1828-12,0.2,0.11
1829-01,-4.4,0.12
1829-02,-2.3,0.14
1829-03,4,0.17
1829-04,8.6,0.21
1829-05,12.6,0.23
1829-06,14,0.25
1829-07,17.1,0.24
1829-08,15.2,0.22
1829-09,11.9,0.18
1829-10,6.8,0.14
1829-11,1.1,0.12
1829-12,-5,0.11
1830-01,-8.2,0.12
1830-02,-3.2,0.14
1830-03,6,0.17
1830-04,10.3,0.21
1830-05,13,0.23
1830-06,14.6,0.25
1830-07,18.1,0.23
1830-08,16.7,0.22
1830-09,11.4,0.18
1830-10,7.6,0.14
1830-11,4,0.12
1830-12,-1.1,0.11
1831-01,-3.9,0.12
1831-02,0.1,0.14
1831-03,5.7,0.17
1831-04,9.3,0.21
1831-05,12.1,0.23
1831-06,15.1,0.25
1831-07,17.3,0.24
1831-08,16.7,0.21
1831-09,12.2,0.2
1831-10,11.1,0.15
1831-11,4,0.12
1831-12,0.1,0.11
1832-01,-2.2,0.12
1832-02,-0.3,0.14
1832-03,2.8,0.17
1832-04,8.3,0.21
1832-05,11.2,0.23
1832-06,14.5,0.25
1832-07,18.1,0.24
1832-08,19.4,0.21
1832-09,13.3,0.18
1832-10,7.9,0.14
1832-11,2.7,0.12
1832-12,-0.1,0.11
1833-01,-4.6,0.12
1833-02,3.2,0.14
1833-03,2.5,0.17
1833-04,6.4,0.21
1833-05,16.2,0.23
1833-06,16.7,0.25
1833-07,15.1,0.23
1833-08,14.8,0.21
1833-09,12,0.18
1833-10,8.6,0.14
1833-11,3,0.12
1833-12,4.1,0.11
1834-01,3.6,0.12
1834-02,1.2,0.14
1834-03,4.1,0.17
1834-04,6.5,0.21
1834-05,15.4,0.23
1834-06,17.6,0.25
1834-07,19.6,0.23
1834-08,18.3,0.21
1834-09,17.4,0.18
1834-10,9,0.14
1834-11,3.2,0.12
1834-12,-1.9,0.11
1835-01,-1,0.12
1835-02,1.8,0.15
1835-03,3.3,0.17
1835-04,7.5,0.21
1835-05,12.9,0.23
1835-06,15.8,0.25
1835-07,20.1,0.23
1835-08,16.9,0.21
1835-09,13.6,0.18
1835-10,6.4,0.14
1835-11,-0.2,0.12
1835-12,-4.1,0.11
1836-01,-2.5,0.12
1836-02,-0.4,0.14
1836-03,5.8,0.17
1836-04,6.8,0.21
1836-05,10.5,0.23
1836-06,16.4,0.25
1836-07,18.3,0.23
1836-08,18,0.21
1836-09,12.4,0.19
1836-10,8,0.14
1836-11,2.9,0.12
1836-12,0.6,0.11
1837-01,-2.9,0.12
1837-02,0.2,0.14
1837-03,-0.2,0.17
1837-04,4.9,0.21
1837-05,8.6,0.23
1837-06,17.6,0.25
1837-07,17.2,0.24
1837-08,18.9,0.21
1837-09,11.6,0.18
1837-10,7.8,0.16
1837-11,2,0.12
1837-12,-0.6,0.11
1838-01,-6.8,0.12
1838-02,-1.7,0.14
1838-03,3.4,0.17
1838-04,4.7,0.21
1838-05,12.3,0.24
1838-06,15.5,0.25
1838-07,17.5,0.24
1838-08,15.8,0.21
1838-09,13.6,0.18
1838-10,8.2,0.15
1838-11,4.4,0.12
1838-12,-1.9,0.11
1839-01,-1.9,0.12
1839-02,0.5,0.15
1839-03,2.6,0.17
1839-04,4.8,0.21
1839-05,10.8,0.23
1839-06,18,0.25
1839-07,18.6,0.24
1839-08,15.6,0.22
1839-09,13.4,0.21
1839-10,10.1,0.16
1839-11,4.9,0.12
1839-12,2.5,0.11
1840-01,0.6,0.12
1840-02,-1,0.14
1840-03,-0.3,0.18
1840-04,9.8,0.22
1840-05,12,0.24
1840-06,16,0.25
